location,total_sqft,price,bhk
Whitefield,1760,160,3
other,4000,150,7
Marathahalli,3090,350,4
other,2700,295,4
other,1175,52.86,2
Hebbal,4235,364,4
KR Puram,1100,45,2
Banashankari Stage VI,1200,175,8
Banashankari,1450,50.75,2
6th Phase JP Nagar,1810,131,3
other,1426,71,3
Sector 7 HSR Layout,2400,195,3
Kalyan nagar,1100,70,2
Electronic City Phase II,650,35,1
Old Madras Road,1350,47.25,3
Kaikondrahalli,900,27,2
Billekahalli,1360,110,2
Yeshwanthpur,674,36.85,1
Whitefield,1655,110,3
other,1300,95,2
other,936,53,1
other,1277,92,2
other,1200,54,2
Hormavu,1015,39.08,2
Budigere,1153,60,2
Kengeri,1035,51.5,2
KR Puram,3300,255,5
Uttarahalli,1150,46,2
Malleshwaram,1020,80,2
Old Madras Road,3715,212.5,4
8th Phase JP Nagar,1160,95,2
Bisuvanahalli,1075,31,3
Brookefield,1225,72,2
Benson Town,5000,950,4
other,1600,160,2
Malleshwaram,600,90,2
other,1350,60,3
Kanakpura Road,1300,69,3
Channasandra,830,36.28,2
Hennur Road,1155,69.18,2
Sarakki Nagar,3126,345,4
Jalahalli,905,55,2
Vijayanagar,1375,75,3
Electronic City,1140,33.84,2
Hormavu,1550,60,3
Kannamangala,957,55,2
9th Phase JP Nagar,890,45,2
KR Puram,3000,235,4
Electronic City,1070,55,2
other,2400,150,5
other,2400,595,4
Rachenahalli,925,37,2
Kammasandra,1415,60,2
other,500,80,1
Thanisandra,1225,37,2
Hennur Road,2000,90,4
Whitefield,840,57,1
Banashankari Stage III,1560,200,9
Thanisandra,1732,112,3
Parappana Agrahara,1200,45,1
Bhoganhalli,1260,69.9,2
other,1092,49,2
other,827,34,2
Horamavu Banaswadi,1357,54,2
Chamrajpet,650,40,2
7th Phase JP Nagar,1370,54.79,3
Whitefield,1725,106,3
Jalahalli,1000,70,2
TC Palaya,1350,55,1
7th Phase JP Nagar,3200,350,4
Bellandur,1717,110,3
Kanakpura Road,700,34,2
other,800,32,2
Rajaji Nagar,2367,340,3
Sonnenahalli,1415,65,3
7th Phase JP Nagar,1976,145,3
Kambipura,883,37.01,2
Yelahanka,700,38,1
Sarjapur,1445,50,3
Battarahalli,2082,104,3
HSR Layout,1140,46,2
Thanisandra,933,66,2
NRI Layout,800,95.5,4
Electronic City Phase II,1155,57,2
Whitefield,1130,36,2
Bannerghatta,1200,73.2,2
other,1055,43,2
Rajaji Nagar,1555,125,3
Bellandur,1420,62,3
other,2214,350,3
Devanahalli,658,26.91,1
Bhoganhalli,896.9,78.74,2
Giri Nagar,4000,750,4
KR Puram,1035,40,2
Whitefield,2064,225,4
other,1839,160,3
Begur Road,1200,44,2
Yelahanka New Town,488,20,1
Banashankari Stage II,1200,198,3
other,2760,140,5
other,993,42,2
Hoodi,1225,45,2
TC Palaya,900,55,2
Electronic City,1200,150,9
Sompura,825,32,2
Bellandur,3596,359,4
other,1350,203,6
Electronic City Phase II,1800,92,3
other,925,100,2
Kanakpura Road,1167,63,2
Sarjapur,1150,41,2
other,650,50,1
Sarjapur  Road,675,27,1
other,2260,90,2
other,720,32.39,1
Whitefield,4800,600,3
Yelahanka New Town,1100,58,2
other,550,20,2
Uttarahalli,1330,58,3
Koramangala,1320,160,2
Ulsoor,1685,185,3
other,2400,75,6
Banashankari,1770,108,3
Prithvi Layout,2100,125,3
Pai Layout,1000,42,2
Banashankari Stage VI,600,105,4
Ramamurthy Nagar,2916,230,4
Kanakpura Road,1419.59,65,3
Kodihalli,1400,81,3
Horamavu Agara,750,37.49,2
Bannerghatta,1070,87,2
Kannamangala,1536,107,3
Koramangala,1710,210,3
JP Nagar,2400,196,3
Sarjapur  Road,1773.5,102.92,3
Electronic City,1342,72,2
other,1600,130,3
Kanakapura,938,50,1
Budigere,1820,99,3
Bhoganhalli,2439,170,4
Kanakpura Road,1665,78,3
Basavangudi,1850,150,3
Bommanahalli,1091,40,2
Sarjapur  Road,1346,74.03,2
Rajaji Nagar,1720,224,3
Brookefield,3675,176,4
JP Nagar,1060,33.95,2
Whitefield,1059,57,2
Hebbal,1299,97,2
Yelahanka,1491,85,3
Basaveshwara Nagar,1200,85,2
Yelahanka,2088,110,4
Hulimavu,581,29,1
other,1296,70,2
other,1125,55,2
Electronic City,1275,70,3
Kothanur,1095,55,2
Sarjapur  Road,10000,975,5
Old Madras Road,1330,74,2
Marathahalli,1135,60,2
Whitefield,516,39,1
other,1194,51,2
Banaswadi,2250,240,5
Electronic City,770,38,2
Sarjapur  Road,3930,330,4
Chikkalasandra,1355,54.2,3
Abbigere,3000,150,8
Harlur,2569,175,4
Hebbal,3758,450,4
Whitefield,1116,51.91,2
Bhoganhalli,1707,115,3
other,1200,225,5
Sultan Palaya,1070,49,2
Whitefield,6000,410,4
Tumkur Road,1240,83,3
JP Nagar,1300,91.65,2
Ambalipura,1700,76,2
Yeshwanthpur,1383,76.18,3
other,3000,170,5
Electronic City,1200,34.65,2
Hulimavu,935,45,2
Thigalarapalya,2072,151,3
other,2200,225,4
Jalahalli,615,46,1
KR Puram,1116,45,2
Whitefield,1639,107,3
Marathahalli,1839,130,3
other,1300,63,2
Horamavu Agara,625,27,1
Thanisandra,933,61,1
Hosur Road,2289,180,3
Ramamurthy Nagar,2316,125,3
Electronic City,1005,39.77,2
Horamavu Agara,1080,38,2
Munnekollal,1200,185,7
Vishwapriya Layout,910,36,2
Hormavu,1200,73,2
Electronic City,1110,39.9,2
Kothanur,1142,56,2
2nd Stage Nagarbhavi,4000,240,5
Hormavu,1800,204,3
AECS Layout,1005,55,2
other,1626.6,133,3
Kothanur,1074,54,2
Basavangudi,1230,80,2
Electronic City,660,23,2
other,1007,48,2
other,1050,74,4
Whitefield,1820,113,3
other,1100,60,2
other,1348,100,2
Kasavanhalli,1230,66.25,2
Horamavu Agara,1176,37.62,3
Uttarahalli,1590,57,3
Frazer Town,1200,78,2
other,1298,65,2
Hosa Road,1161,55.15,2
other,1350,175,4
other,1200,138,5
Kothanur,1285,60,2
Electronic City,1644,92.59,3
Kasavanhalli,1819,150,3
1st Phase JP Nagar,1205,85,2
Basavangudi,2350,300,3
Uttarahalli,1050,42,2
Raja Rajeshwari Nagar,1270,62,2
9th Phase JP Nagar,1240,39.89,3
Jigani,1221,70,3
other,840,35,3
Kanakpura Road,1339,63,2
Thigalarapalya,4303,300,4
Haralur Road,1315,85,2
Raja Rajeshwari Nagar,1250,68,2
Bisuvanahalli,850,27,2
7th Phase JP Nagar,1600,110,3
Electronic City,1250,62,2
other,1312,56.5,3
Kadugodi,3000,134,4
Electronic City Phase II,1300,28,2
Whitefield,1990,98,3
other,760,38.5,2
Ambedkar Nagar,5000,536,4
Kadugodi,1614,59,3
Judicial Layout,1500,162,4
other,1182,60.1,3
other,1053,46.29,2
6th Phase JP Nagar,750,105,1
Gubbalala,2000,125,3
Electronic City Phase II,1940,116,3
Hennur Road,1590,105,3
other,1035,52.79,2
Kothanur,1075,53,2
TC Palaya,900,55,2
Raja Rajeshwari Nagar,1260,62,3
other,1200,260,6
Thanisandra,1702,107,3
Bisuvanahalli,1080,65,3
Kasavanhalli,1189,45,2
Tumkur Road,1035,39,2
Hennur Road,1200,36,2
Mahalakshmi Layout,4482,852,8
other,1200,200,3
Kanakpura Road,1300,69,3
Yelahanka,1330,93.65,2
Kaggalipura,1210,65,3
Chikkalasandra,1350,54.2,3
Kaval Byrasandra,1900,65,3
Ambedkar Nagar,1935,125,3
other,1410,90,3
Narayanapura,1469,99.14,2
Varthur,986,30,2
other,1460,87,3
other,1260,85.05,3
Chandapura,1345,39.5,3
Panathur,980,57,2
Kudlu Gate,1164,75,2
Subramanyapura,929,51,2
Kundalahalli,1065,70,2
Budigere,1172,56.725,2
other,3000,265,3
Electronic City,1020,30.27,2
Gunjur,1362,62.63,3
Yeshwanthpur,672,36.85,1
Brookefield,1746,115,3
Electronic City,1025,29.6,2
Harlur,1532,65,2
other,1200,120,3
other,1250,65,2
Thanisandra,1188,39,2
Whitefield,3565,218,4
Marathahalli,1170,85,2
other,1800,150,3
other,1000,35,2
Cooke Town,2600,375,3
Nagarbhavi,1200,240,5
Kasturi Nagar,2507,155,4
Babusapalaya,1061,34,2
KR Puram,1290,69,2
Sarjapur,1200,42.6,2
Bharathi Nagar,1120,39.29,2
Electronic City,418,12,1
Sarjapur,1333,50,3
Sarjapur  Road,1691,119,3
Thanisandra,747,34.355,1
Koramangala,1700,250,3
Thanisandra,2030,125,3
Balagere,1012,70,2
Kudlu,1245,60,3
7th Phase JP Nagar,1765,118,3
Gottigere,1110,36.25,2
other,967,47.8,2
Sarjapur,1044,36,2
Brookefield,1518,80,3
KR Puram,1300,57,3
other,1798,73,3
KR Puram,866.28,36.38,2
Whitefield,3410,253,4
Singasandra,1179,56,2
Rajaji Nagar,3600,510,5
Uttarahalli,1125,48,2
other,2098,210,3
other,2400,270,3
Haralur Road,1976,92,3
5th Phase JP Nagar,1190,61.8,2
other,1800,192,3
Jakkur,1761,84.52,3
Cooke Town,1700,120,3
Ramamurthy Nagar,900,70,4
Electronic City,1128,64.8,2
other,2000,85,3
Electronic City,1220,35.25,3
other,509,20,1
Ambedkar Nagar,1852,122,3
Varthur,1045,40.65,2
other,3535,215,4
Marathahalli,1102,53.67,2
other,1800,82,4
Hebbal Kempapura,1436,75,3
other,1397,52,3
Kothanur,1140,56,2
Balagere,645,55,1
other,2350,325,5
Nagarbhavi,1200,225,3
other,2050,135,3
Sarjapur  Road,1335,95,2
other,2100,200,2
Hebbal,1255,77.68,3
Thanisandra,1140,59,2
Hosakerehalli,2376,240,3
Thanisandra,663,46,1
other,1276,146,2
Kanakpura Road,1450,60.9,3
Kodichikkanahalli,1400,66,3
other,1339,53.56,2
Electronic City,1220,35.23,3
Malleshwaram,2200,275,3
other,1305,52,2
Green Glen Layout,1740,80,3
Anekal,680,21,2
Bannerghatta Road,1154,47,2
Munnekollal,1200,40,2
Hennur,1155,54.5,2
Sarjapur  Road,1525,63,3
Giri Nagar,600,125,1
Hebbal,2470,192,4
Padmanabhanagar,1100,60,2
Hormavu,1250,65,2
Kothanur,1400,70,2
other,1600,100,3
Electronic City,1060,55,2
Horamavu Banaswadi,1272,50,2
Kanakpura Road,1296,105,2
other,2100,280,4
Karuna Nagar,1945,115,3
Chandapura,1033,30.47,3
other,2300,69,3
other,1235,52.76,2
other,2100,270,3
other,850,42.5,2
Subramanyapura,1880,110,3
1st Block Jayanagar,2450,368,4
Kenchenahalli,1060,52,2
Hennur Road,2041,138,3
Hulimavu,1050,125,2
Vasanthapura,1037,36.28,2
other,1150,39,2
LB Shastri Nagar,1184,62,2
Sarjapur  Road,1680,126,3
Thanisandra,1411,100,3
Hosa Road,900,55,5
Kanakpura Road,900,41,2
other,3500,320,4
Thanisandra,1702,120,3
Yelahanka,1185,45,2
Kanakpura Road,1300,64,3
other,1545,65,3
6th Phase JP Nagar,1515,135,3
Jigani,1300,55,3
JP Nagar,1107,57,2
Old Madras Road,1720,106,3
other,1540,150,3
Bannerghatta Road,1000,44.5,2
Electronic City,710,40.42,1
Thanisandra,1100,38,2
other,3200,270,4
other,900,160,2
Bannerghatta Road,1250,48,2
Kaggadasapura,2400,130,5
Hegde Nagar,1584.01,104,3
other,875,150,4
Kammasandra,1200,60,4
Kaggadasapura,1485,70,3
Hennur Road,1100,78,3
8th Phase JP Nagar,1245,59,2
Hennur Road,1880,154,4
Frazer Town,2214,350,3
other,1050,45,2
Vishveshwarya Layout,600,95,4
Bannerghatta Road,1640,105,3
other,1165,65,2
Kengeri Satellite Town,1110,43,2
other,1200,200,7
other,4000,630,4
Uttarahalli,4500,150,4
other,600,65,4
Haralur Road,1300,75,2
other,1200,42,2
Hennur Road,1232,69.61,2
Jalahalli,1704,94.36,3
7th Phase JP Nagar,1275,88,3
Sarjapur  Road,1222,68,3
Varthur,1155,39,2
Electronic City,1000,29.95,2
Horamavu Banaswadi,1200,45,2
Yelahanka,1517,71.28,3
Horamavu Agara,1166,37.29,2
Electronic City,870,24,2
5th Phase JP Nagar,4000,170,5
Rajaji Nagar,1350,230,4
Yelahanka,3019,190,4
Whitefield,1345,58,3
Dommasandra,900,75,3
EPIP Zone,3800,170,4
Chandapura,971,38,3
Hennur,1255,52.32,2
EPIP Zone,1810,65,2
other,1300,58,2
Thanisandra,1185,45,2
Pattandur Agrahara,1350,68,2
Budigere,1590,76.16,3
other,3000,180,7
Brookefield,1560,149,4
Somasundara Palya,1650,126,3
other,1645,87,3
Hennur Road,1748,103,3
Channasandra,1200,67.77,3
Kengeri Satellite Town,1170,50,2
Sarjapur  Road,3420,225,4
Hulimavu,1320,65,3
Bhoganhalli,1610,84.53,3
Frazer Town,1870,180,3
Sarjapur  Road,1510,110,3
other,2700,110,6
other,1305,45.68,3
Mahadevpura,1500,70,3
Indira Nagar,1149,130,2
Thanisandra,1948,129,4
Margondanahalli,1448,70,3
Sarjapur  Road,1242,78,2
Sonnenahalli,1268,58,2
Ramamurthy Nagar,1101,50,2
other,1255,65,2
Gunjur,1362,62.63,3
Sarjapur  Road,984,140,3
Hosa Road,1089,32.67,2
other,800,95,2
Uttarahalli,1345,57,3
Thanisandra,3600,125,8
other,1650,140,4
Kaggalipura,950,45,2
HBR Layout,1068,43,2
Yelahanka New Town,860,31,2
Kengeri,3000,130,8
Yelahanka,1756,66.73,3
Whitefield,1205,41,2
Hoodi,1120,155,8
Banashankari,1800,125,3
other,8321,2912,4
Hormavu,1604,68,3
Old Airport Road,2732,204,4
Chandapura,1015,25.88,2
Banashankari,1200,42,3
Ananth Nagar,1010,38,2
Nagarbhavi,1250,170,2
Doddakallasandra,1010,41,2
Yelahanka,1050,33.1,2
Harlur,1710,85,3
Mysore Road,1248.52,115,3
Attibele,410,10,1
Bannerghatta Road,1656,62.93,3
other,1451,68,3
Giri Nagar,1200,175,6
JP Nagar,1250,93,2
other,4395,240,3
Hebbal,4600,650,4
Sonnenahalli,1340,42,3
other,1100,38.5,2
Whitefield,6000,700,4
Devarachikkanahalli,1700,71,3
Yelahanka,1200,150,6
KR Puram,1096,43,2
Electronic City Phase II,1160,33.5,2
other,1936,139,3
Nehru Nagar,1269,63,3
other,3500,630,3
Panathur,1586,125,3
Rajaji Nagar,1376,124,2
Kanakpura Road,1452,56.5,3
Hosa Road,1538,107,3
Hosur Road,1427,130,3
other,935,40,2
other,1220,65,2
Harlur,1197,77,2
Varthur,674,19.9,2
Kengeri,410,15,1
Thanisandra,1573,90,3
Dodda Nekkundi,1135,58,2
other,1400,40.43,3
other,1200,65,1
other,1800,95,3
other,2045,108,3
Sonnenahalli,1268,56,2
Kambipura,883,39,2
Yelahanka,1600,100,3
Thanisandra,1056,70,2
Jigani,1200,105,10
Whitefield,4500,330,4
KR Puram,1204,58,2
other,1410,54,3
Hennur Road,1460,80.3,2
Dodda Nekkundi,1100,41.18,2
other,1310,88,2
Sector 2 HSR Layout,1600,90,3
other,1250,55,2
Sarjapur  Road,1665,74.93,3
Uttarahalli,1345,57,3
other,2000,240,5
Singasandra,1416,67,2
HSR Layout,1145,46,2
Munnekollal,7200,200,10
Jigani,1231,58,3
Yelahanka,1664,73.95,3
TC Palaya,2000,76,3
Rajiv Nagar,972,43,2
other,4500,345,4
Bellandur,1185,47.39,2
Green Glen Layout,1750,81,3
other,3155,316,3
Balagere,1007,68,2
Rajaji Nagar,1700,200,3
Whitefield,1250,85,2
other,1200,54,2
Horamavu Agara,994,42.28,2
Ramamurthy Nagar,1150,40,2
Thanisandra,1220,46,2
other,1441,115,2
Old Madras Road,1157,47.32,2
other,1300,150,6
Thigalarapalya,1400,105,2
Tindlu,1370.07,65,3
Magadi Road,1200,130,5
Judicial Layout,900,40,2
other,418,17,1
other,1200,80,3
ISRO Layout,1200,43,2
Talaghattapura,1062,42.48,2
Kanakpura Road,1120,51,2
Bannerghatta Road,1012,44,2
other,1500,200,3
ISRO Layout,950,180,4
other,675,13.5,2
Kanakpura Road,1430,78,2
Channasandra,1195,56,3
Old Madras Road,2640,150,3
Bisuvanahalli,1075,42,3
Hennur Road,1570,75.99,3
Kammanahalli,782,85,6
Sonnenahalli,1011,59,2
7th Phase JP Nagar,1450,102,3
Sarjapur  Road,1129,69,2
Sarjapura - Attibele Road,1126,36,2
Attibele,1200,110,3
Sarjapur  Road,1180,45,3
other,600,125,3
Bannerghatta,940,45,4
Hennur Road,1933,140,3
TC Palaya,1082,64,2
LB Shastri Nagar,2400,250,8
other,610,28,1
Raja Rajeshwari Nagar,1560,160,4
Kathriguppe,1300,77.99,3
Kudlu Gate,3850,205,4
CV Raman Nagar,1125,46,2
other,2400,107,6
Kengeri Satellite Town,777.4,25,2
Battarahalli,2500,65,4
Old Airport Road,1798,150,3
other,1864,120,3
Whitefield,1115,51.91,2
Kengeri,400,25,1
Rajaji Nagar,1200,70,2
Ananth Nagar,992,24.8,2
other,950,57,2
R.T. Nagar,1500,185,4
Bellandur,1200,62,2
GM Palaya,1735,70,3
BTM 2nd Stage,1750,172,3
HSR Layout,1009,56,2
Jalahalli,1470,102,3
Bannerghatta Road,1527,115,3
other,985,45,2
Chandapura,3300,135,4
Whitefield,1277,77,2
other,1100,62,2
Whitefield,1820,140,3
other,1530,87,4
Banashankari,1886,205,3
other,1200,190,3
Jakkur,1880,110,3
Hennur,1255,52.35,2
Kanakpura Road,700,36,2
Somasundara Palya,1140,46,2
Electronic City Phase II,1025,29.6,2
Whitefield,3453,247,4
Uttarahalli,1490,59.6,3
other,1200,165,4
Sarjapur  Road,1850,140,3
Kaikondrahalli,1250,78,2
other,2400,108,4
Kodihalli,3522,716,4
Jalahalli,1244,88,2
Kumaraswami Layout,623,75,4
Kengeri Satellite Town,1025,28.57,2
Sarjapur  Road,1034,38,2
Kengeri Satellite Town,1191,33.34,3
Kasavanhalli,1719,71,3
7th Phase JP Nagar,1035,39.33,2
2nd Stage Nagarbhavi,1500,230,4
Hosa Road,1470,84.22,3
Yelahanka,1140,50.66,2
Harlur,1752.12,125,3
other,600,80,6
2nd Stage Nagarbhavi,600,84,4
Old Madras Road,2990,170,3
Bannerghatta Road,1660,85,3
Electronic City,1275,63.43,3
Bommasandra Industrial Area,1365,52.81,3
other,1200,90,3
Kanakpura Road,2546,170,3
Banashankari Stage VI,1392,69.46,3
Whitefield,1245,59.76,2
Rayasandra,1200,65,5
Yeshwanthpur,1162,64.08,2
Singasandra,1476,73,3
KR Puram,700,21.5,1
other,3600,170,6
Jigani,943,48,2
Pai Layout,1150,170,2
Sarjapur  Road,1113,44.5,2
Varthur,1615,69.43,3
other,1279,100,2
other,1256,60,2
Benson Town,1805,280,3
Sompura,1350,65,3
other,1525,68.63,3
Rajaji Nagar,1357,123,2
Hebbal,1645,117,3
Ardendale,1777.26,92,3
Bisuvanahalli,845,32,2
other,900,25,2
Varthur,1210,64.15,2
Electronic City Phase II,829,22.8,2
Sarjapur  Road,1879,155,3
Hosur Road,1250,50,3
other,1200,35,4
Marathahalli,1108,60,3
Kanakpura Road,1401,69,3
Sarjapur  Road,1157,75,3
other,1185,42.66,2
Green Glen Layout,1751,115,3
other,1550,250,5
Bannerghatta Road,1880,96.5,3
Whitefield,1322.5,40.985,3
Channasandra,1175,38,2
Jalahalli,1407,98.49,2
Yelachenahalli,1000,50,2
Electronic City,1518,75,3
other,3600,300,4
Tumkur Road,1027,67,2
other,3730,430,4
HSR Layout,1145,46,2
Rajaji Nagar,1260,113,2
Begur Road,1500,47.25,3
Varthur,1737,57.32,3
Hennur,3517,161.5,4
other,1600,120,3
Hegde Nagar,1500,135,3
other,1120,60,2
Banashankari Stage V,1200,240,3
Hennur Road,1030,46.5,2
Gubbalala,2500,88,6
Kammasandra,1057,35,2
Old Airport Road,2774,208,4
Thanisandra,1460,38.5,2
Hormavu,1075,53.7,2
Mysore Road,1080,60,3
Kodihalli,3626,788,4
other,5100,225,6
Singasandra,1139.7,45,2
Whitefield,1074,42.8,2
Whitefield,1200,46.13,2
Sarjapur  Road,2425,175,4
Sarjapur  Road,1323,74,2
Hennur Road,1232,69.61,2
Kalena Agrahara,900,40,2
Sarjapura - Attibele Road,740,23.65,1
Hebbal,1920,134,3
Bannerghatta Road,1550,96,3
Gunjur,1588,90,3
Rajaji Nagar,2300,240,3
R.T. Nagar,3600,165,9
other,1308,86,2
Hennur,1340,54.27,3
Kogilu,3280,450,10
other,2170,265,4
Thanisandra,1719,135,3
Horamavu Agara,1107.83,41.51,2
Whitefield,1200,45.84,2
Electronic City,1090,31.48,1
other,1500,210,5
Jakkur,1660,104,3
Nagavara,1247,58.56,2
Thanisandra,1595,96,3
Kaggadasapura,1175,50,2
9th Phase JP Nagar,1200,135,8
Old Airport Road,1184,78,2
other,1100,55,2
Kaval Byrasandra,935,78,2
Yelahanka,1200,60,2
Rajaji Nagar,2400,408,5
other,1000,45,2
Uttarahalli,1000,52,2
Yelahanka,1705,85,3
Tumkur Road,1060,58.3,3
Chikka Tirupathi,2325,120,4
other,1347,55,3
other,1200,250,8
Varthur,1402,95,2
Whitefield,2280,125,3
other,1225,71.05,2
5th Phase JP Nagar,1080,53,2
other,4000,90,7
other,1919,300,3
Begur Road,1100,42.6,2
Sarjapur  Road,2500,225,4
Bannerghatta Road,1200,78,2
Begur Road,1565,57.91,3
other,1200,78,2
Kothanur,1581,76,3
Whitefield,2882,200,4
TC Palaya,1440,97,5
other,2180,273,3
Nagasandra,7000,450,4
Abbigere,985,38.92,2
Sarjapur,950,35,2
other,1339,55,2
other,1449,72,3
other,1200,180,4
other,1100,38.68,2
Hoskote,1003.5,28.095,2
Kaval Byrasandra,2700,200,3
other,1100,55,2
Electronic City,1140,32.92,2
Sarjapur,3009,330,3
other,3300,310,8
Chandapura,800,30,2
Chikkabanavar,2000,65,5
other,1200,190,4
other,1300,95,2
Kanakpura Road,1220,60,2
Sarjapur  Road,2289,178,3
Whitefield,1170,56,2
other,1350,89.5,2
Kambipura,883,45,2
Thanisandra,1698,125,3
Electronic City Phase II,2187.5,105,4
Ambalipura,1060,58.5,2
Somasundara Palya,1185,75,2
Padmanabhanagar,2051,180,3
Vittasandra,1404,72,2
Electronic City Phase II,1252,67,2
Bannerghatta Road,1885,125,3
Kaikondrahalli,3381,225,6
Hormavu,980,42,2
Rajaji Nagar,2500,340,3
Banashankari,1420,66,3
other,1166,135,6
other,2312,156,3
Kaggadasapura,3000,130,4
other,1175,70,2
other,1145,51,2
Bhoganhalli,970,52.5,2
Electronic City,1125,32.49,2
Whitefield,1639.5,92.63,3
9th Phase JP Nagar,5000,300,4
other,2150,240,3
Ramagondanahalli,1635,57,3
Harlur,3425,320,3
Hennur Road,2950,253,4
Jalahalli,1200,66,1
Kathriguppe,1335,73.43,3
Hebbal,4450,449,4
Yeshwanthpur,1166,64.08,2
Rajaji Nagar,2390,372,3
Shivaji Nagar,1460,90,3
other,1690,50,3
other,1386,93,4
other,1090,32,2
Thanisandra,1732,85.73,3
Whitefield,1390,72,2
Sector 2 HSR Layout,1095,85.41,2
Kengeri,416,17.19,1
other,2400,50,3
Yelahanka,1350,85,3
Bannerghatta Road,1453,73,3
Thanisandra,1226,65,2
Kasturi Nagar,784,165,4
Hegde Nagar,1168,68,3
Bannerghatta,1776,124,3
Whitefield,1634,68,3
Hormavu,860,56,2
other,2800,400,3
Nagasandra,1650,95,3
Whitefield,1190,70,2
JP Nagar,1133,33.99,2
other,1559,62,3
Horamavu Banaswadi,1448,118,3
other,6652,510,4
Kodichikkanahalli,976,50,2
other,1350,240,4
Yelahanka,1590,54,3
Binny Pete,2940,201,4
Yelahanka,1633,110,3
Ramagondanahalli,1151,46,2
Kereguddadahalli,1400,42,3
Uttarahalli,1037,36,2
Thanisandra,1188,36,2
other,1060,52,2
Thigalarapalya,2215,162,3
Hennur,1255,54.5,2
other,2500,300,3
Hormavu,1075,53.7,2
Harlur,2569,180,4
ITPL,900,27,2
Kudlu Gate,1183,79.54,2
HSR Layout,1100,44,2
GM Palaya,1643,70,3
other,1500,120,3
Jakkur,1291,75,2
Hennur,1150,80,3
Electronic City,1060,55,2
7th Phase JP Nagar,1575,110,3
other,1200,160,5
other,1700,55,4
Mahadevpura,1236,58,2
Ramamurthy Nagar,1350,39,3
Malleshwaram,2475,326,3
Pai Layout,3800,175,6
Haralur Road,4694,375,4
Electronic City,1200,34.66,2
Hulimavu,1200,75,4
Harlur,1225,56,2
Thanisandra,1056,75,2
9th Phase JP Nagar,1240,42.85,3
Banashankari,1200,74.52,3
Kudlu Gate,1850,110,3
other,3150,180,4
other,1200,39.82,1
other,1018,150,4
other,3520,460,5
Chandapura,1185,30.22,3
Jigani,918,56,2
other,1330,68,3
Munnekollal,1540,70,3
Lakshminarayana Pura,1200,80,2
other,927,37,2
Sarjapur,2585.5,115,4
CV Raman Nagar,1400,78,3
Hosur Road,1345,106,2
1st Phase JP Nagar,1900,400,4
8th Phase JP Nagar,1510,80,2
Malleshwaram,302,25,2
Kanakpura Road,525,27,1
ITPL,1500,61.52,3
Yelahanka,827.5,42.535,1
Vidyaranyapura,1100,72,3
other,1200,68,3
Kanakpura Road,1100,53,3
Hormavu,2282,115,4
other,760,37.49,2
Sarjapur,2172,100,3
other,3800,390,6
Kumaraswami Layout,600,72,4
8th Phase JP Nagar,3300,165,3
Thubarahalli,1242,51,3
other,410,48,1
Uttarahalli,1245,43.58,3
Kadugodi,1088,44,2
Sahakara Nagar,1200,46,2
TC Palaya,1995,100,3
Haralur Road,1309,82,2
other,1717,200,3
7th Phase JP Nagar,2100,200,3
other,880,90,2
Abbigere,1200,95,6
other,1250,42,3
Hebbal,3520,240,3
5th Phase JP Nagar,1041,54,2
Sarjapur  Road,1505,60,3
Bannerghatta,1776,150,3
Bellandur,1767,89,3
other,1293,80,2
Kengeri,1320,50,2
other,1280,68.48,2
Thanisandra,1245,83.05,2
Haralur Road,1027,44,2
Yelenahalli,1200,46.17,2
Kanakpura Road,1100,58,3
other,1065,72,3
Kannamangala,1814,129,3
Ramagondanahalli,1610,112,3
Kumaraswami Layout,850,78,1
Kasavanhalli,1600,79,3
other,3200,140,3
other,1250,77.13,3
Haralur Road,1243,46,2
Kanakpura Road,1452,60.98,3
other,1475,75,3
Electronic City,1353,75,2
other,2100,210,4
Electronics City Phase 1,1750,58,3
Whitefield,4800,550,4
Sahakara Nagar,1270,96,2
Battarahalli,2700,75,4
8th Phase JP Nagar,1200,270,4
Thanisandra,2695,188,4
other,1330,65,3
Electronic City,660,18,2
BTM 2nd Stage,1400,90,2
Gubbalala,4000,195,4
Kanakpura Road,1700,75,3
Kasavanhalli,1585,90,2
Kothanur,1385,67,3
Electronic City,1128,67,2
Whitefield,60,218,4
other,1200,200,18
HSR Layout,1203,60,2
Mallasandra,905,35,2
Hennur Road,1450,79,3
Varthur,1105,38,2
Channasandra,1200,46.13,2
Jalahalli,1530,89,3
Whitefield,1105,35.4,2
Dasarahalli,1333,78.56,2
other,1065,45,2
Haralur Road,1243,46,2
Old Madras Road,1530,76.34,3
Margondanahalli,1200,65,2
Whitefield,1270,94,2
Bellandur,1830,89,3
Chandapura,900,35,2
Attibele,2400,250,4
other,7000,560,6
Bannerghatta Road,1450,78,3
other,1525,65,3
Mahalakshmi Layout,1080,67,2
other,1220,72,2
Begur Road,1200,44.4,2
Bommanahalli,1355,73.17,2
R.T. Nagar,2400,348,3
other,1500,60,2
Koramangala,1355,95,2
Electronic City,1070,57,2
CV Raman Nagar,1980,180,3
Bommasandra,842,30,2
Bannerghatta Road,700,31.2,1
other,2500,65,3
other,1884,95,3
other,1100,75,2
Raja Rajeshwari Nagar,1196,40.54,2
Budigere,1820,85,3
other,1200,145,8
Thanisandra,1185,43.5,2
Varthur,2145,170,3
Whitefield,1220,89,2
Whitefield,1116,51.91,2
